cluster_label,cnn,fox,nyt,wsj
barricade/standoff,0.010869565217391304,0.0,0.0,0.06
gunman identity/age descriptors,0.42391304347826086,0.56,0.4186046511627907,0.42
location fragments,0.06521739130434782,0.0,0.0,0.0
locked-room references,0.0,0.0,0.0,0.08
noise/fragments,0.22826086956521738,0.28,0.2558139534883721,0.26
school/event framing,0.16304347826086957,0.1,0.20930232558139536,0.12
shooter actions,0.10869565217391304,0.06,0.11627906976744186,0.06
